order_id,user_id,product_id,sale_price,order_created_at,event_created_at,city,state,postal_code,traffic_source,uri
36507,29210,5732,6.9899997711181641,2021-01-25 16:56:20.000000 UTC,2021-01-25 16:51:25.000000 UTC,Loudi,Guizhou,552100,Adwords,/product/5732
85217,68068,5861,8.9899997711181641,2021-03-22 11:48:27.000000 UTC,2021-03-22 11:44:11.000000 UTC,Göppingen,Baden-Württemberg,73035,Adwords,/product/5861
30151,24201,6033,12.989999771118164,2021-07-27 09:57:30.000000 UTC,2021-07-27 09:52:13.000000 UTC,Cuiabá,Mato Grosso,78158-720,Email,/product/6033
122617,98010,5868,8.9899997711181641,2022-05-10 02:17:38.000000 UTC,2022-05-10 02:13:14.000000 UTC,Camocim de São Félix,Pernambuco,55660-000,Email,/product/5868
121434,97081,6263,8.9899997711181641,2023-07-09 18:36:42.000000 UTC,2023-07-09 18:31:40.000000 UTC,Nantes,Pays de la Loire,44000,Email,/product/6263
12832,10312,6077,6.9899997711181641,2023-09-05 08:12:34.000000 UTC,2023-09-05 08:07:30.000000 UTC,Foshan,Guangdong,518129,Facebook,/product/6077
31933,25614,5847,6.9899997711181641,2024-02-10 08:30:11.000000 UTC,2024-02-10 08:28:22.000000 UTC,Tokyo,Tokyo,176-0014,Adwords,/product/5847
97450,78030,5992,8.9899997711181641,2024-02-13 06:14:05.000000 UTC,2024-02-13 06:08:33.000000 UTC,Wuhan,Guangdong,518112,Adwords,/product/5992
111480,89264,5845,4.9899997711181641,2024-05-06 05:04:06.000000 UTC,2024-05-06 05:01:14.000000 UTC,null,Pará,68617-000,Email,/product/5845
92891,74253,6115,4.9899997711181641,2024-05-27 21:54:44.000000 UTC,2024-05-27 21:49:33.000000 UTC,Huizhou,Guangdong,515699,Email,/product/6115
58884,47086,5732,6.9899997711181641,2024-08-14 10:21:35.000000 UTC,2024-08-14 10:14:48.000000 UTC,Palmdale,California,93552,Adwords,/product/5732
19373,15582,5847,6.9899997711181641,2024-08-31 20:12:40.000000 UTC,2024-08-31 20:09:07.000000 UTC,Remscheid,Nordrhein-Westfalen,42897,Email,/product/5847
66025,52765,5826,8.9899997711181641,2024-10-07 02:18:42.000000 UTC,2024-10-07 02:11:40.000000 UTC,Dongguan,Shanghai,200010,Email,/product/5826
117316,93896,5847,6.9899997711181641,2025-01-13 22:29:37.000000 UTC,2025-01-13 22:26:28.000000 UTC,Dongguan,Jiangsu,215131,Facebook,/product/5847
25625,20596,5868,8.9899997711181641,2025-02-19 21:54:15.000000 UTC,2025-02-19 21:53:00.000000 UTC,Security-Widefield,Colorado,80911,Adwords,/product/5868
72499,58001,6263,8.9899997711181641,2025-05-10 16:51:05.000000 UTC,2025-05-10 16:48:11.000000 UTC,Zhengzhou,Shanxi,41000,Email,/product/6263
59940,47913,5845,4.9899997711181641,2025-09-05 06:37:15.000000 UTC,2025-09-05 06:32:43.000000 UTC,NanNing,Beijing,100043,Email,/product/5845
58465,46749,5760,6.9899997711181641,2025-10-13 09:21:48.000000 UTC,2025-10-13 09:18:20.000000 UTC,Springfield,Massachusetts,1109,Email,/product/5760
95485,76414,5992,8.9899997711181641,2026-01-19 06:40:37.000000 UTC,2026-01-19 06:36:54.000000 UTC,Shakopee,Minnesota,55379,Email,/product/5992
119913,95899,5933,12.989999771118164,2026-02-16 16:32:47.000000 UTC,2026-02-16 16:19:04.000000 UTC,Dumplings,Kanagawa,249-0004,Email,/product/5933
119913,95899,5933,12.989999771118164,2026-02-16 16:32:47.000000 UTC,2026-02-16 16:22:35.000000 UTC,Dumplings,Kanagawa,249-0004,Email,/product/5933
119913,95899,5933,12.989999771118164,2026-02-16 16:32:47.000000 UTC,2026-02-16 16:15:38.000000 UTC,Dumplings,Kanagawa,249-0004,Email,/product/5933
119913,95899,5933,12.989999771118164,2026-02-16 16:32:47.000000 UTC,2026-02-16 16:28:16.000000 UTC,Dumplings,Kanagawa,249-0004,Email,/product/5933
62415,49910,5826,8.9899997711181641,2026-03-15 19:10:08.000000 UTC,2026-03-15 19:04:11.000000 UTC,Nova Serrana,Minas Gerais,35519-000,Email,/product/5826
